Question 3 Part a
Recurrent Layer

Training Loss: 1.54, Validation Loss: 1.54, Training Accuracy: 34.33, Validation Accuracy: 32.33 [Epoch: 1 of 50, ETA: 9 minute(s)]
Training Loss: 1.71, Validation Loss: 1.71, Training Accuracy: 24.41, Validation Accuracy: 24.67 [Epoch: 22 of 50, ETA: 5 minute(s)]
Training Loss: 1.69, Validation Loss: 1.69, Training Accuracy: 24.56, Validation Accuracy: 25.00 [Epoch: 23 of 50, ETA: 5 minute(s)]
Training Loss: 1.63, Validation Loss: 1.64, Training Accuracy: 24.85, Validation Accuracy: 24.33 [Epoch: 24 of 50, ETA: 4 minute(s)]
Training Loss: 1.46, Validation Loss: 1.45, Training Accuracy: 38.22, Validation Accuracy: 37.67 [Epoch: 25 of 50, ETA: 4 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 29.74, Validation Accuracy: 29.00 [Epoch: 26 of 50, ETA: 4 minute(s)]
Training Loss: 1.80, Validation Loss: 1.75, Training Accuracy: 37.33, Validation Accuracy: 39.33 [Epoch: 27 of 50, ETA: 4 minute(s)]
Training Loss: 1.51, Validation Loss: 1.45, Training Accuracy: 34.74, Validation Accuracy: 36.00 [Epoch: 28 of 50, ETA: 4 minute(s)]
Training Loss: 1.74, Validation Loss: 1.74, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 29 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 30 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 31 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 32 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 23.96, Validation Accuracy: 24.33 [Epoch: 33 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.72, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 34 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 35 of 50, ETA: 3 minute(s)]
Training Loss: 1.73, Validation Loss: 1.73, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 36 of 50, ETA: 2 minute(s)]
Training Loss: 1.73, Validation Loss: 1.72, Training Accuracy: 23.04, Validation Accuracy: 22.67 [Epoch: 37 of 50, ETA: 2 minute(s)]
Training Loss: 1.73, Validation Loss: 1.72, Training Accuracy: 28.70, Validation Accuracy: 30.67 [Epoch: 38 of 50, ETA: 2 minute(s)]
Training Loss: 1.73, Validation Loss: 1.72, Training Accuracy: 23.00, Validation Accuracy: 22.67 [Epoch: 39 of 50, ETA: 2 minute(s)]
Training Loss: 1.72, Validation Loss: 1.72, Training Accuracy: 23.96, Validation Accuracy: 24.33 [Epoch: 40 of 50, ETA: 2 minute(s)]
Training Loss: 1.72, Validation Loss: 1.71, Training Accuracy: 23.96, Validation Accuracy: 24.33 [Epoch: 41 of 50, ETA: 1 minute(s)]
Training Loss: 1.72, Validation Loss: 1.71, Training Accuracy: 25.15, Validation Accuracy: 21.33 [Epoch: 42 of 50, ETA: 1 minute(s)]
Training Loss: 1.68, Validation Loss: 1.68, Training Accuracy: 29.52, Validation Accuracy: 29.00 [Epoch: 43 of 50, ETA: 1 minute(s)]
Training Loss: 1.52, Validation Loss: 1.51, Training Accuracy: 37.44, Validation Accuracy: 37.67 [Epoch: 44 of 50, ETA: 1 minute(s)]
Training Loss: 1.69, Validation Loss: 1.69, Training Accuracy: 25.81, Validation Accuracy: 25.33 [Epoch: 45 of 50, ETA: 51 seconds(s)]
Training Loss: 1.53, Validation Loss: 1.52, Training Accuracy: 38.30, Validation Accuracy: 36.33 [Epoch: 46 of 50, ETA: 40 seconds(s)]
Training Loss: 1.48, Validation Loss: 1.44, Training Accuracy: 36.15, Validation Accuracy: 37.33 [Epoch: 47 of 50, ETA: 30 seconds(s)]
Training Loss: 1.45, Validation Loss: 1.43, Training Accuracy: 37.78, Validation Accuracy: 38.00 [Epoch: 48 of 50, ETA: 21 seconds(s)]
Training Loss: 1.68, Validation Loss: 1.65, Training Accuracy: 29.15, Validation Accuracy: 31.00 [Epoch: 49 of 50, ETA: 10 seconds(s)]
Training Loss: 1.70, Validation Loss: 1.69, Training Accuracy: 35.48, Validation Accuracy: 36.67 [Epoch: 50 of 50, ETA: 0 seconds(s)]

Test Accuracy:  34.5 



Question 3 Part b
LSTM Layer

Training Loss: 1.78, Validation Loss: 1.78, Training Accuracy: 29.00, Validation Accuracy: 25.67 [Epoch: 1 of 50, ETA: 35 minute(s)]
Training Loss: 1.75, Validation Loss: 1.75, Training Accuracy: 31.44, Validation Accuracy: 30.00 [Epoch: 2 of 50, ETA: 34 minute(s)]
Training Loss: 1.63, Validation Loss: 1.61, Training Accuracy: 28.74, Validation Accuracy: 27.33 [Epoch: 3 of 50, ETA: 33 minute(s)]
Training Loss: 1.51, Validation Loss: 1.49, Training Accuracy: 33.48, Validation Accuracy: 32.33 [Epoch: 4 of 50, ETA: 33 minute(s)]
Training Loss: 1.47, Validation Loss: 1.45, Training Accuracy: 40.04, Validation Accuracy: 37.00 [Epoch: 5 of 50, ETA: 32 minute(s)]
Training Loss: 1.45, Validation Loss: 1.43, Training Accuracy: 40.56, Validation Accuracy: 38.33 [Epoch: 6 of 50, ETA: 31 minute(s)]
Training Loss: 1.43, Validation Loss: 1.42, Training Accuracy: 42.48, Validation Accuracy: 42.67 [Epoch: 7 of 50, ETA: 30 minute(s)]
Training Loss: 1.40, Validation Loss: 1.38, Training Accuracy: 43.22, Validation Accuracy: 41.67 [Epoch: 8 of 50, ETA: 30 minute(s)]
Training Loss: 1.38, Validation Loss: 1.36, Training Accuracy: 45.04, Validation Accuracy: 43.67 [Epoch: 9 of 50, ETA: 31 minute(s)]
Training Loss: 1.36, Validation Loss: 1.34, Training Accuracy: 45.52, Validation Accuracy: 44.33 [Epoch: 10 of 50, ETA: 30 minute(s)]
Training Loss: 1.34, Validation Loss: 1.32, Training Accuracy: 45.56, Validation Accuracy: 46.33 [Epoch: 11 of 50, ETA: 28 minute(s)]
Training Loss: 1.33, Validation Loss: 1.31, Training Accuracy: 46.30, Validation Accuracy: 45.33 [Epoch: 12 of 50, ETA: 27 minute(s)]
Training Loss: 1.31, Validation Loss: 1.29, Training Accuracy: 47.52, Validation Accuracy: 46.67 [Epoch: 13 of 50, ETA: 27 minute(s)]
Training Loss: 1.30, Validation Loss: 1.27, Training Accuracy: 47.74, Validation Accuracy: 47.33 [Epoch: 14 of 50, ETA: 26 minute(s)]
Training Loss: 1.28, Validation Loss: 1.27, Training Accuracy: 48.15, Validation Accuracy: 48.00 [Epoch: 15 of 50, ETA: 26 minute(s)]
Training Loss: 1.27, Validation Loss: 1.25, Training Accuracy: 49.22, Validation Accuracy: 48.00 [Epoch: 16 of 50, ETA: 24 minute(s)]
Training Loss: 1.24, Validation Loss: 1.22, Training Accuracy: 51.81, Validation Accuracy: 51.00 [Epoch: 17 of 50, ETA: 24 minute(s)]
Training Loss: 1.20, Validation Loss: 1.17, Training Accuracy: 54.41, Validation Accuracy: 53.00 [Epoch: 18 of 50, ETA: 23 minute(s)]
Training Loss: 1.14, Validation Loss: 1.10, Training Accuracy: 56.85, Validation Accuracy: 56.33 [Epoch: 19 of 50, ETA: 23 minute(s)]
Training Loss: 1.05, Validation Loss: 1.01, Training Accuracy: 59.11, Validation Accuracy: 60.33 [Epoch: 20 of 50, ETA: 22 minute(s)]
Training Loss: 0.95, Validation Loss: 0.92, Training Accuracy: 63.70, Validation Accuracy: 65.67 [Epoch: 21 of 50, ETA: 21 minute(s)]
Training Loss: 0.92, Validation Loss: 0.90, Training Accuracy: 62.41, Validation Accuracy: 63.67 [Epoch: 22 of 50, ETA: 20 minute(s)]
Training Loss: 0.85, Validation Loss: 0.83, Training Accuracy: 65.48, Validation Accuracy: 67.00 [Epoch: 23 of 50, ETA: 19 minute(s)]
Training Loss: 0.85, Validation Loss: 0.81, Training Accuracy: 65.33, Validation Accuracy: 66.67 [Epoch: 24 of 50, ETA: 19 minute(s)]
Training Loss: 0.85, Validation Loss: 0.83, Training Accuracy: 65.41, Validation Accuracy: 66.00 [Epoch: 25 of 50, ETA: 18 minute(s)]
Training Loss: 0.82, Validation Loss: 0.76, Training Accuracy: 67.56, Validation Accuracy: 69.67 [Epoch: 26 of 50, ETA: 17 minute(s)]
Training Loss: 0.79, Validation Loss: 0.75, Training Accuracy: 67.78, Validation Accuracy: 69.67 [Epoch: 27 of 50, ETA: 16 minute(s)]
Training Loss: 0.79, Validation Loss: 0.75, Training Accuracy: 67.67, Validation Accuracy: 70.67 [Epoch: 28 of 50, ETA: 16 minute(s)]
Training Loss: 0.73, Validation Loss: 0.68, Training Accuracy: 69.67, Validation Accuracy: 72.33 [Epoch: 29 of 50, ETA: 15 minute(s)]
Training Loss: 0.71, Validation Loss: 0.67, Training Accuracy: 70.19, Validation Accuracy: 69.33 [Epoch: 30 of 50, ETA: 14 minute(s)]
Training Loss: 0.71, Validation Loss: 0.67, Training Accuracy: 70.93, Validation Accuracy: 70.33 [Epoch: 31 of 50, ETA: 14 minute(s)]
Training Loss: 0.76, Validation Loss: 0.65, Training Accuracy: 68.81, Validation Accuracy: 74.00 [Epoch: 32 of 50, ETA: 13 minute(s)]
Training Loss: 0.69, Validation Loss: 0.63, Training Accuracy: 72.00, Validation Accuracy: 76.33 [Epoch: 33 of 50, ETA: 12 minute(s)]
Training Loss: 0.71, Validation Loss: 0.66, Training Accuracy: 70.15, Validation Accuracy: 70.33 [Epoch: 34 of 50, ETA: 11 minute(s)]
Training Loss: 0.74, Validation Loss: 0.66, Training Accuracy: 72.00, Validation Accuracy: 74.33 [Epoch: 35 of 50, ETA: 12 minute(s)]
Training Loss: 0.76, Validation Loss: 0.71, Training Accuracy: 68.48, Validation Accuracy: 67.67 [Epoch: 36 of 50, ETA: 16 minute(s)]
Training Loss: 0.67, Validation Loss: 0.63, Training Accuracy: 71.52, Validation Accuracy: 72.67 [Epoch: 37 of 50, ETA: 13 minute(s)]
Training Loss: 0.71, Validation Loss: 0.67, Training Accuracy: 71.52, Validation Accuracy: 70.67 [Epoch: 38 of 50, ETA: 12 minute(s)]
Training Loss: 0.70, Validation Loss: 0.62, Training Accuracy: 70.93, Validation Accuracy: 73.00 [Epoch: 39 of 50, ETA: 11 minute(s)]
Training Loss: 0.69, Validation Loss: 0.62, Training Accuracy: 71.44, Validation Accuracy: 73.00 [Epoch: 40 of 50, ETA: 10 minute(s)]
Training Loss: 0.78, Validation Loss: 0.78, Training Accuracy: 65.41, Validation Accuracy: 62.67 [Epoch: 41 of 50, ETA: 9 minute(s)]
Training Loss: 0.68, Validation Loss: 0.66, Training Accuracy: 70.96, Validation Accuracy: 68.67 [Epoch: 42 of 50, ETA: 7 minute(s)]
Training Loss: 0.64, Validation Loss: 0.61, Training Accuracy: 72.07, Validation Accuracy: 72.67 [Epoch: 43 of 50, ETA: 6 minute(s)]
Training Loss: 0.67, Validation Loss: 0.63, Training Accuracy: 71.67, Validation Accuracy: 71.33 [Epoch: 44 of 50, ETA: 5 minute(s)]
Training Loss: 0.72, Validation Loss: 0.68, Training Accuracy: 70.19, Validation Accuracy: 71.67 [Epoch: 45 of 50, ETA: 4 minute(s)]
Training Loss: 0.63, Validation Loss: 0.59, Training Accuracy: 74.52, Validation Accuracy: 74.00 [Epoch: 46 of 50, ETA: 3 minute(s)]
Training Loss: 0.65, Validation Loss: 0.62, Training Accuracy: 71.70, Validation Accuracy: 73.33 [Epoch: 47 of 50, ETA: 2 minute(s)]
Training Loss: 0.67, Validation Loss: 0.62, Training Accuracy: 71.52, Validation Accuracy: 73.00 [Epoch: 48 of 50, ETA: 2 minute(s)]
Training Loss: 0.65, Validation Loss: 0.64, Training Accuracy: 71.74, Validation Accuracy: 72.33 [Epoch: 49 of 50, ETA: 46 seconds(s)]
Training Loss: 0.63, Validation Loss: 0.61, Training Accuracy: 73.37, Validation Accuracy: 71.67 [Epoch: 50 of 50, ETA: 0 seconds(s)]

Test Accuracy:  71.0 



Question 3 Part c
GRU Layer

Training Loss: 1.76, Validation Loss: 1.76, Training Accuracy: 27.63, Validation Accuracy: 26.67 [Epoch: 1 of 50, ETA: 35 minute(s)]
Training Loss: 1.55, Validation Loss: 1.54, Training Accuracy: 36.30, Validation Accuracy: 44.00 [Epoch: 2 of 50, ETA: 34 minute(s)]
Training Loss: 1.46, Validation Loss: 1.47, Training Accuracy: 41.22, Validation Accuracy: 49.00 [Epoch: 3 of 50, ETA: 34 minute(s)]
Training Loss: 1.40, Validation Loss: 1.42, Training Accuracy: 44.26, Validation Accuracy: 50.33 [Epoch: 4 of 50, ETA: 32 minute(s)]
Training Loss: 1.35, Validation Loss: 1.35, Training Accuracy: 45.15, Validation Accuracy: 51.67 [Epoch: 5 of 50, ETA: 30 minute(s)]
Training Loss: 1.25, Validation Loss: 1.24, Training Accuracy: 48.48, Validation Accuracy: 53.67 [Epoch: 6 of 50, ETA: 31 minute(s)]
Training Loss: 1.17, Validation Loss: 1.19, Training Accuracy: 53.85, Validation Accuracy: 57.00 [Epoch: 7 of 50, ETA: 30 minute(s)]
Training Loss: 1.05, Validation Loss: 1.10, Training Accuracy: 61.00, Validation Accuracy: 63.67 [Epoch: 8 of 50, ETA: 30 minute(s)]
Training Loss: 0.99, Validation Loss: 1.07, Training Accuracy: 62.48, Validation Accuracy: 66.67 [Epoch: 9 of 50, ETA: 23 minute(s)]
Training Loss: 0.98, Validation Loss: 1.01, Training Accuracy: 58.37, Validation Accuracy: 61.67 [Epoch: 10 of 50, ETA: 59 minute(s)]
Training Loss: 0.81, Validation Loss: 0.86, Training Accuracy: 64.30, Validation Accuracy: 68.33 [Epoch: 11 of 50, ETA: 41 minute(s)]
Training Loss: 0.80, Validation Loss: 0.84, Training Accuracy: 66.78, Validation Accuracy: 71.00 [Epoch: 12 of 50, ETA: 44 minute(s)]
Training Loss: 0.86, Validation Loss: 0.99, Training Accuracy: 63.63, Validation Accuracy: 63.00 [Epoch: 13 of 50, ETA: 43 minute(s)]
Training Loss: 0.76, Validation Loss: 0.84, Training Accuracy: 69.07, Validation Accuracy: 71.67 [Epoch: 14 of 50, ETA: 42 minute(s)]
Training Loss: 0.71, Validation Loss: 0.76, Training Accuracy: 69.67, Validation Accuracy: 72.33 [Epoch: 15 of 50, ETA: 40 minute(s)]
Training Loss: 0.72, Validation Loss: 0.86, Training Accuracy: 70.26, Validation Accuracy: 68.33 [Epoch: 16 of 50, ETA: 38 minute(s)]
Training Loss: 0.70, Validation Loss: 0.75, Training Accuracy: 70.07, Validation Accuracy: 73.67 [Epoch: 17 of 50, ETA: 38 minute(s)]
Training Loss: 0.68, Validation Loss: 0.74, Training Accuracy: 71.93, Validation Accuracy: 74.00 [Epoch: 18 of 50, ETA: 37 minute(s)]
Training Loss: 0.62, Validation Loss: 0.70, Training Accuracy: 74.74, Validation Accuracy: 76.33 [Epoch: 19 of 50, ETA: 36 minute(s)]
Training Loss: 0.66, Validation Loss: 0.75, Training Accuracy: 72.22, Validation Accuracy: 70.67 [Epoch: 20 of 50, ETA: 35 minute(s)]
Training Loss: 0.57, Validation Loss: 0.67, Training Accuracy: 76.74, Validation Accuracy: 75.33 [Epoch: 21 of 50, ETA: 33 minute(s)]
Training Loss: 0.58, Validation Loss: 0.67, Training Accuracy: 76.15, Validation Accuracy: 76.00 [Epoch: 22 of 50, ETA: 32 minute(s)]
Training Loss: 0.54, Validation Loss: 0.67, Training Accuracy: 77.07, Validation Accuracy: 77.33 [Epoch: 23 of 50, ETA: 31 minute(s)]
Training Loss: 0.55, Validation Loss: 0.66, Training Accuracy: 76.78, Validation Accuracy: 76.33 [Epoch: 24 of 50, ETA: 30 minute(s)]
Training Loss: 0.50, Validation Loss: 0.64, Training Accuracy: 78.44, Validation Accuracy: 78.67 [Epoch: 25 of 50, ETA: 29 minute(s)]
Training Loss: 0.50, Validation Loss: 0.62, Training Accuracy: 78.81, Validation Accuracy: 78.00 [Epoch: 26 of 50, ETA: 28 minute(s)]
Training Loss: 0.46, Validation Loss: 0.53, Training Accuracy: 81.22, Validation Accuracy: 81.00 [Epoch: 27 of 50, ETA: 27 minute(s)]
Training Loss: 0.46, Validation Loss: 0.57, Training Accuracy: 81.30, Validation Accuracy: 80.33 [Epoch: 28 of 50, ETA: 25 minute(s)]
Training Loss: 0.50, Validation Loss: 0.61, Training Accuracy: 79.04, Validation Accuracy: 77.33 [Epoch: 29 of 50, ETA: 24 minute(s)]
Training Loss: 0.50, Validation Loss: 0.70, Training Accuracy: 79.74, Validation Accuracy: 76.33 [Epoch: 30 of 50, ETA: 24 minute(s)]
Training Loss: 0.39, Validation Loss: 0.50, Training Accuracy: 84.78, Validation Accuracy: 80.33 [Epoch: 31 of 50, ETA: 22 minute(s)]
Training Loss: 0.44, Validation Loss: 0.57, Training Accuracy: 82.37, Validation Accuracy: 80.00 [Epoch: 32 of 50, ETA: 21 minute(s)]
Training Loss: 0.43, Validation Loss: 0.50, Training Accuracy: 83.11, Validation Accuracy: 81.67 [Epoch: 33 of 50, ETA: 20 minute(s)]
Training Loss: 0.40, Validation Loss: 0.57, Training Accuracy: 85.67, Validation Accuracy: 80.67 [Epoch: 34 of 50, ETA: 19 minute(s)]
Training Loss: 0.37, Validation Loss: 0.51, Training Accuracy: 86.63, Validation Accuracy: 83.33 [Epoch: 35 of 50, ETA: 17 minute(s)]
Training Loss: 0.34, Validation Loss: 0.43, Training Accuracy: 88.04, Validation Accuracy: 84.00 [Epoch: 36 of 50, ETA: 16 minute(s)]
Training Loss: 0.34, Validation Loss: 0.51, Training Accuracy: 87.67, Validation Accuracy: 84.00 [Epoch: 37 of 50, ETA: 15 minute(s)]
Training Loss: 0.27, Validation Loss: 0.43, Training Accuracy: 90.04, Validation Accuracy: 86.00 [Epoch: 38 of 50, ETA: 14 minute(s)]
Training Loss: 0.24, Validation Loss: 0.39, Training Accuracy: 92.04, Validation Accuracy: 86.67 [Epoch: 39 of 50, ETA: 13 minute(s)]
Training Loss: 0.25, Validation Loss: 0.45, Training Accuracy: 92.00, Validation Accuracy: 87.00 [Epoch: 40 of 50, ETA: 12 minute(s)]
Training Loss: 0.29, Validation Loss: 0.43, Training Accuracy: 90.48, Validation Accuracy: 86.67 [Epoch: 41 of 50, ETA: 10 minute(s)]
Training Loss: 0.24, Validation Loss: 0.38, Training Accuracy: 91.74, Validation Accuracy: 87.33 [Epoch: 42 of 50, ETA: 9 minute(s)]
Training Loss: 0.23, Validation Loss: 0.41, Training Accuracy: 92.48, Validation Accuracy: 89.33 [Epoch: 43 of 50, ETA: 8 minute(s)]
Training Loss: 0.31, Validation Loss: 0.51, Training Accuracy: 89.85, Validation Accuracy: 86.00 [Epoch: 44 of 50, ETA: 7 minute(s)]
Training Loss: 0.20, Validation Loss: 0.38, Training Accuracy: 93.41, Validation Accuracy: 89.00 [Epoch: 45 of 50, ETA: 6 minute(s)]
Training Loss: 0.16, Validation Loss: 0.33, Training Accuracy: 94.22, Validation Accuracy: 90.33 [Epoch: 46 of 50, ETA: 5 minute(s)]
Training Loss: 0.29, Validation Loss: 0.47, Training Accuracy: 91.56, Validation Accuracy: 86.33 [Epoch: 47 of 50, ETA: 3 minute(s)]
Training Loss: 0.17, Validation Loss: 0.36, Training Accuracy: 94.96, Validation Accuracy: 88.33 [Epoch: 48 of 50, ETA: 2 minute(s)]
Training Loss: 0.15, Validation Loss: 0.36, Training Accuracy: 95.26, Validation Accuracy: 90.33 [Epoch: 49 of 50, ETA: 44 seconds(s)]
Training Loss: 0.21, Validation Loss: 0.39, Training Accuracy: 94.22, Validation Accuracy: 89.33 [Epoch: 50 of 50, ETA: 0 seconds(s)]

Test Accuracy:  84.0 
